,variable,value
Hawaii,2016-03-01,691167.0
Iowa,2016-03-01,1714396.0
Idaho,2016-03-01,814072.0
Illinois,2016-03-01,6646990.0
Indiana,2016-03-01,3338943.0
Kansas,2016-03-01,1502176.0
Kentucky,2016-03-01,2000062.0
Louisiana,2016-03-01,2131596.0
Massachusetts,2016-03-01,3634170.0
Maryland,2016-03-01,3177364.0
Maine,2016-03-01,692953.0
Michigan,2016-03-01,4849814.0
Minnesota,2016-03-01,3031641.0
Missouri,2016-03-01,3066965.0
Mississippi,2016-03-01,1267598.0
Montana,2016-03-01,524949.0
North Carolina,2016-03-01,4763203.0
North Dakota,2016-03-01,414495.0
Nebraska,2016-03-01,1024063.0
New Hampshire,2016-03-01,754502.0
New Jersey,2016-03-01,4615485.0
New Mexico,2016-03-01,943263.0
Nevada,2016-03-01,1405134.0
New York,2016-03-01,9773761.0
Ohio,2016-03-01,5774990.0
Oklahoma,2016-03-01,1824396.0
Oregon,2016-03-01,2029635.0
Pennsylvania,2016-03-01,6537416.0
Rhode Island,2016-03-01,563970.0
South Carolina,2016-03-01,2259058.0
South Dakota,2016-03-01,452580.0
Tennessee,2016-03-01,3115694.0
Texas,2016-03-01,13200366.0
Utah,2016-03-01,1495995.0
Virginia,2016-03-01,4235617.0
Vermont,2016-03-01,351797.0
Washington,2016-03-01,3621461.0
Wisconsin,2016-03-01,3124851.0
West Virginia,2016-03-01,788478.0
Wyoming,2016-03-01,300728.0
Alaska,2016-04-01,361098.0
Alabama,2016-04-01,2191598.0
Arkansas,2016-04-01,1337326.0
Arizona,2016-04-01,3161164.0
California,2016-04-01,19006193.0
