,GeoFIPS,State,LineCode,Description,value,Year,Quarter
310,56000,Wyoming,2,"Population (midperiod, persons) 1",583318.0,2015,Q2
311,56000,Wyoming,3,Per capita personal income (dollars) 2,56277.0,2015,Q2
312,0,United States,1,"Personal income (millions of dollars, seasonally adjusted)",15541187.0,2015,Q3
313,0,United States,2,"Population (midperiod, persons) 1",322178548.0,2015,Q3
314,0,United States,3,Per capita personal income (dollars) 2,48238.0,2015,Q3
315,1000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",188719.5,2015,Q3
316,1000,Alabama,2,"Population (midperiod, persons) 1",4912678.0,2015,Q3
317,1000,Alabama,3,Per capita personal income (dollars) 2,38415.0,2015,Q3
318,2000,Alaska,1,"Personal income (millions of dollars, seasonally adjusted)",41941.4,2015,Q3
319,2000,Alaska,2,"Population (midperiod, persons) 1",739714.0,2015,Q3
320,2000,Alaska,3,Per capita personal income (dollars) 2,56699.0,2015,Q3
321,4000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",267928.1,2015,Q3
322,4000,Arizona,2,"Population (midperiod, persons) 1",6717681.0,2015,Q3
323,4000,Arizona,3,Per capita personal income (dollars) 2,39884.0,2015,Q3
324,5000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",117305.5,2015,Q3
325,5000,Arkansas,2,"Population (midperiod, persons) 1",2971907.0,2015,Q3
